ATR_PERIODO,MACD_FAST,MACD_SLOW,MACD_SIGNAL,HILO_PERIODO,ATR_MULT,TRAILING_PCT,symbol,Sharpe,Retorno,run_date
21,16,30,12,3,2.0,0.025,BTCUSDT,2.142033516015441,0.8417273724619243,2025-08-09 21:57:32
21,6,26,5,3,2.0,0.025,SOLUSDT,1.86400250023359,1.463818772608457,2025-08-09 21:57:32
21,6,20,9,7,2.0,0.025,AVAXUSDT,1.2195813194450096,0.8913435205456286,2025-08-09 21:57:32
21,12,30,5,5,2.0,0.025,ETHUSDT,1.895161600110289,1.3901679006897592,2025-08-09 21:57:32
21,16,30,12,7,2.0,0.025,RENDERUSDT,1.0955447214570968,0.8185707023657196,2025-08-09 21:57:32
21,8,20,5,3,2.0,0.025,ADAUSDT,1.121335636142141,0.939039918121054,2025-08-09 21:57:32
21,16,34,12,3,2.0,0.025,PEPEUSDT,1.3257776298626172,1.466587076370181,2025-08-09 21:57:32
21,16,30,12,3,2.0,0.025,DOGEUSDT,2.2667036264344302,4.315976064611471,2025-08-09 21:57:32
21,16,34,12,7,2.0,0.025,XRPUSDT,2.6377466426341436,5.836981955770902,2025-08-09 21:57:32
21,10,34,12,3,2.0,0.025,SUIUSDT,1.4450017104956172,1.3380832775524283,2025-08-09 21:57:32
21,8,30,5,3,2.0,0.025,LINKUSDT,1.2300468328913783,1.114082477255927,2025-08-09 21:57:32
21,6,20,5,5,2.0,0.025,ONDOUSDT,1.3926093039161591,0.21530359657982578,2025-08-09 21:57:32
